0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:17 -0300] "GET /reservaweb/javax.faces.resource/JQuerySpinBtn.js.faces?ln=org.richfaces HTTP/1.1" 200 9692
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:17 -0300] "GET /reservaweb/javax.faces.resource/jquery.effects.highlight.js.faces?ln=org.richfaces HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:17 -0300] "GET /reservaweb/javax.faces.resource/calendar-utils.js.faces?ln=org.richfaces HTTP/1.1" 200 18001
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/javax.faces.resource/datatable.js.faces?ln=org.richfaces HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/javax.faces.resource/popup.js.faces?ln=org.richfaces HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/javax.faces.resource/tooltip.js.faces?ln=org.richfaces HTTP/1.1" 200 11201
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/rfRes/calendarIcon.png.faces?v=4.2.2.Final&db=eAH7f-X88f!PZzEAAB5uBeo_&ln=org.richfaces.images HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/javax.faces.resource/calendar.js.faces?ln=org.richfaces HTTP/1.1" 200 90166
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/rfRes/gradientA.png.faces?v=4.2.2.Final&db=eAFjZJBjZDBiZBBh!P!21TPG!1fOH2dgAgA6DgeR&ln=org.richfaces.images HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/rfRes/inputBackgroundImage.png.faces?v=4.2.2.Final&db=eAFjZL!AyMDN-P8!4!-P714C6f!!GZgAYeQKqw__&ln=org.richfaces.images HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/rfRes/buttonBackgroundImage.png.faces?v=4.2.2.Final&db=eAFjZGBkZOBm!P-f8f!bV88Y!185f5yBCQBPWAk3&ln=org.richfaces.images HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /reservaweb/rfRes/colHdrGrad.png.faces?v=4.2.2.Final&db=eAFjZJBjZDBiZBBh!H!!zlXG!1fOH2dgAgA4fAdk&ln=org.richfaces.images HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:18 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:35 -0300] "POST /reservaweb/pages/index.faces HTTP/1.1" 200 11786
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:35 -0300] "GET /reservaweb/rfRes/skinning.ecss.faces?db=eAG7mShzEgAFjAIg HTTP/1.1" 200 2347
