what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242200584
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1408242201702
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1408242201742
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1408242202579
error,log,,,"Server JBoss v5.0 at localhost failed to start.",1408242211523
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1408242211603
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242211711
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242211821
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1408242211828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242215746
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242215803
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1408242217826
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242218423
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242236411
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1408242236836
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242238038
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242342549
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242343559
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1408242345099
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1408242345159
closed,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1408242345161
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1408242346636
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242347481
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242348016
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1408242348031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242349271
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242350869
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242351476
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242352454
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408242352596
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1408242353461
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1408242353464
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1408242353466
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1408242353499
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1408242353501
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1408242353504
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1408242353509
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1408242353509
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1408242353511
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1408242353514
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.106.v200911241851,"org.eclipse.jst.ws.consumption.ui",1408242353516
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.408.v200911241817,"org.eclipse.jst.ws.consumption",1408242353521
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1408242383871
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1408242383874
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1408242383879
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1408242383881
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1408242383884
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1408242383886
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1408242383889
