what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1408245495455
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1408245495474
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1408245495588
opened,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1408245495755
closed,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1408245495772
started,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1408245495817
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1408245495825
started,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1408245495887
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1408245495940
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.core",1408245495956
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1408245495982
activated,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1408245497311
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1408245497325
closed,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1408245497337
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245500544
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245554223
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1408245555982
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1408245556341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245556720
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245558391
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1408245559805
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1408245560161
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245560491
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245563880
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245565001
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1408245567319
